,bin,#recs,#g,#b,%g,%b,tot,cg,cb,%cg,FDR,KS,FPR
48,48.0,5835.0,5801.0,34.0,99.41730934018852,0.582690659811476,280058.0,273052.0,7006.0,47.48895613760479,82.67642199669578,35.18746585909099,38.9740222666286
49,49.0,5834.0,5805.0,29.0,99.50291395269112,0.4970860473088834,285892.0,278857.0,7035.0,48.49855647152945,83.01864526787821,34.520088796348766,39.638521677327645
50,50.0,5835.0,5811.0,24.0,99.58868894601542,0.41131105398457635,291727.0,284668.0,7059.0,49.50920032001113,83.30186452678782,33.79266420677669,40.32695849270435
51,51.0,5835.0,5809.0,26.0,99.55441302485005,0.4455869751499506,297562.0,290477.0,7085.0,50.51949633030714,83.60868539060657,33.089189060299425,40.99887085391673
52,52.0,5834.0,5810.0,24.0,99.58861844360645,0.41138155639355034,303396.0,296287.0,7109.0,51.52996625969599,83.89190464951616,32.361938389820175,41.67773245182163
53,53.0,5835.0,5798.0,37.0,99.36589545844045,0.6341045415595516,309231.0,302085.0,7146.0,52.53834915997078,84.32853434033514,31.79018518036436,42.27329974811083
54,54.0,5834.0,5801.0,33.0,99.43435035995886,0.5656496400411442,315065.0,307886.0,7179.0,53.54725381752409,84.71796082133585,31.170707003811764,42.88703162000279
55,55.0,5835.0,5798.0,37.0,99.36589545844045,0.6341045415595516,320900.0,313684.0,7216.0,54.55563671779888,85.15459051215483,30.598953794355943,43.47062084257206
56,56.0,5834.0,5801.0,33.0,99.43435035995886,0.5656496400411442,326734.0,319485.0,7249.0,55.564541375352185,85.54401699315554,29.979475617803352,44.072975582839014
57,57.0,5835.0,5803.0,32.0,99.4515852613539,0.5484147386461018,332569.0,325288.0,7281.0,56.57379387109117,85.92164267170168,29.347848800610507,44.676280730668864
58,58.0,5834.0,5804.0,30.0,99.48577305450806,0.5142269454919415,338403.0,331092.0,7311.0,57.58322028592299,86.27566674533868,28.69244645941569,45.28682806729586
59,59.0,5835.0,5810.0,25.0,99.57155098543274,0.4284490145672635,344238.0,336902.0,7336.0,58.59369021531184,86.57068680670285,27.976996591391014,45.92448200654307
60,60.0,5834.0,5797.0,37.0,99.36578676722661,0.6342132327733907,350072.0,342699.0,7373.0,59.60189919649379,87.00731649752183,27.405417301028038,46.48026583480266
61,61.0,5835.0,5804.0,31.0,99.46872322193659,0.5312767780634147,355907.0,348503.0,7404.0,60.61132561132561,87.37314137361341,26.761815762287796,47.06955699621826
62,62.0,5834.0,5806.0,28.0,99.52005485087419,0.4799451491258111,361741.0,354309.0,7432.0,61.62109986434311,87.70356384234128,26.082463977998174,47.67343918191604
63,63.0,5835.0,5796.0,39.0,99.33161953727506,0.6683804627249401,367576.0,360105.0,7471.0,62.62913492643222,88.16379513806939,25.534660211637167,48.200374782492304
64,64.0,5835.0,5807.0,28.0,99.52013710368466,0.47986289631533907,373411.0,365912.0,7499.0,63.63908309854256,88.49421760679726,24.855134508254707,48.79477263635151
65,65.0,5834.0,5796.0,38.0,99.34864586904354,0.651354130956463,379245.0,371708.0,7537.0,64.64711816063168,88.9426481000708,24.29552993943912,49.31776568926629
66,66.0,5835.0,5813.0,22.0,99.62296486718081,0.3770351328191879,385080.0,377521.0,7559.0,65.65810984729903,89.20226575407128,23.544155906772247,49.943246461172116
67,67.0,5834.0,5806.0,28.0,99.52005485087419,0.4799451491258111,390914.0,383327.0,7587.0,66.66788410031653,89.53268822279915,22.864804122482624,50.524186107816
68,68.0,5835.0,5804.0,31.0,99.46872322193659,0.5312767780634147,396749.0,389131.0,7618.0,67.67731051514835,89.89851309889073,22.221202583742382,51.08046731425571
69,69.0,5834.0,5807.0,27.0,99.53719574905725,0.462804250942753,402583.0,394938.0,7645.0,68.68725868725869,90.21713476516403,21.529876077905342,51.659646827992155
70,70.0,5835.0,5809.0,26.0,99.55441302485005,0.4455869751499506,408418.0,400747.0,7671.0,69.6975546975547,90.52395562898278,20.826400931428083,52.24181984095946
71,71.0,5834.0,5813.0,21.0,99.64004113815564,0.3599588618443619,414252.0,406560.0,7692.0,70.70854638422206,90.77177248052868,20.06322609630662,52.85491419656786
72,72.0,5835.0,5806.0,29.0,99.50299914310197,0.4970008568980262,420087.0,412366.0,7721.0,71.71832063723956,91.11399575171112,19.39567511447156,53.408366791866335
73,73.0,5834.0,5807.0,27.0,99.53719574905725,0.462804250942753,425921.0,418173.0,7748.0,72.72826880934988,91.43261741798442,18.704348608634533,53.97173464119773
74,74.0,5835.0,5806.0,29.0,99.50299914310197,0.4970008568980262,431756.0,423979.0,7777.0,73.73804306236738,91.77484068916687,18.036797626799483,54.51703741802752
75,75.0,5834.0,5810.0,24.0,99.58861844360645,0.41138155639355034,437590.0,429789.0,7801.0,74.74851299175623,92.05805994807648,17.309546956320247,55.09409050121779
76,76.0,5835.0,5800.0,35.0,99.40017137960582,0.5998286203941774,443425.0,435589.0,7836.0,75.7572437302167,92.4710880339863,16.713844303769605,55.58818274629913
